,q_values
0,0.6009365916252136
1,0.5998631715774536
2,0.7610427141189575
3,1.0298080444335938
4,1.3920273780822754
5,1.333961009979248
6,1.3780298233032227
7,1.5156428813934326
8,1.494368314743042
9,1.3758459091186523
10,1.4998457431793213
11,1.3275798559188843
12,1.4518532752990723
13,1.463818073272705
14,1.4614365100860596
15,1.4730234146118164
16,1.3809680938720703
17,2.6431760787963867
18,2.6349034309387207
19,2.003925323486328
20,1.4350281953811646
21,1.6193015575408936
22,1.7485843896865845
23,1.4077913761138916
24,1.258767008781433
25,1.281033992767334
26,1.257758378982544
27,1.3170843124389648
28,1.4072896242141724
29,1.2304213047027588
30,1.453354835510254
31,1.6306294202804565
32,1.5310063362121582
33,1.327183723449707
34,1.2074253559112549
35,1.1001369953155518
36,1.3103208541870117
37,1.2566848993301392
38,0.9385389089584351
39,0.821174144744873
40,0.690723180770874
41,0.8005572557449341
42,1.3512176275253296
43,1.4618427753448486
44,1.487685203552246
45,1.4538428783416748
46,1.3072636127471924
47,1.4221148490905762
48,1.5568978786468506
49,1.540950059890747
50,1.5366982221603394
51,1.4166101217269897
52,1.547900915145874
53,1.5062012672424316
54,1.3085339069366455
55,1.0807327032089233
56,1.173336386680603
57,1.4642471075057983
58,1.466727375984192
59,1.4956227540969849
60,1.3834483623504639
61,1.3518224954605103
62,1.265872836112976
63,1.168398380279541
64,0.9876490235328674
65,0.6672464609146118
66,0.8477047681808472
67,1.361910343170166
68,1.076646089553833
69,0.9312970042228699
70,0.6800405383110046
71,0.7929973602294922
72,0.9101526737213135
73,1.019991397857666
74,0.8519660830497742
75,0.7017240524291992
76,0.872124195098877
77,1.0325573682785034
78,1.203324556350708
79,1.0593234300613403
80,1.1363394260406494
81,0.9983488321304321
82,0.90296870470047
83,0.7116828560829163
84,0.6128025054931641
85,0.7201319932937622
86,0.8781198263168335
87,0.9345474243164062
88,1.0154075622558594
89,0.9386566281318665
90,0.892504096031189
91,1.057157278060913
92,1.116938591003418
93,1.0735821723937988
94,1.043778657913208
95,0.9029231071472168
96,0.927871584892273
97,0.9529205560684204
98,1.0216268301010132
99,0.8929932117462158
100,0.8064855337142944
101,0.8387313485145569
102,0.9731947183609009
103,1.0728083848953247
104,1.806361198425293
105,1.9132943153381348
106,1.3133373260498047
107,1.1419355869293213
108,1.1232099533081055
109,1.3036396503448486
110,1.479330062866211
111,1.8747295141220093
112,1.458022952079773
113,1.5743393898010254
114,1.2217175960540771
115,1.0845073461532593
116,1.034949541091919
117,0.978380560874939
118,1.1172176599502563
119,1.1089184284210205
120,0.6125456094741821
121,1.0133616924285889
122,0.6955344080924988
123,0.6297351717948914
124,0.5938780307769775
125,0.6457570195198059
126,0.6464030742645264
127,0.7396748065948486
128,0.8557782769203186
129,0.8061490058898926
130,0.8500669598579407
131,1.1325089931488037
132,0.7327962517738342
133,0.5792311429977417
134,0.6470694541931152
135,0.7230069637298584
136,1.1547431945800781
137,0.9147965312004089
138,0.5916920900344849
139,0.5469011068344116
140,0.5630407333374023
141,0.5764102339744568
142,0.5633830428123474
143,0.5666809678077698
144,0.558099091053009
145,0.8441014289855957
146,0.7456279397010803
147,0.7398061752319336
148,0.8936315774917603
149,0.7864804863929749
150,0.7830790281295776
151,0.7983414530754089
152,0.8343048691749573
153,0.8040626645088196
154,0.8572314977645874
155,0.819998025894165
156,0.8055733442306519
157,0.8292664289474487
158,0.7220166921615601
159,0.7683431506156921
160,0.9510958194732666
161,0.8003052473068237
162,0.8175869584083557
163,0.8185407519340515
164,0.8277127146720886
165,1.0555084943771362
166,1.021557092666626
167,0.9949459433555603
168,0.8919768333435059
169,0.9724697470664978
170,1.0514178276062012
171,0.9892852306365967
172,1.000964641571045
173,1.206045150756836
174,1.3199267387390137
175,1.3704794645309448
176,1.0323944091796875
177,0.9639849662780762
178,0.7250229120254517
179,0.8449268341064453
180,0.6928533911705017
181,0.7991361618041992
182,0.8354198932647705
183,0.6470645666122437
184,1.0007131099700928
185,1.4232892990112305
186,1.3674302101135254
187,1.0955357551574707
188,1.0916504859924316
189,1.0311603546142578
190,1.1654350757598877
191,0.9681313633918762
192,0.9010449647903442
193,0.9612460136413574
194,1.0928893089294434
195,1.2665362358093262
196,1.1351089477539062
197,1.0868349075317383
198,0.81900954246521
199,0.8114567399024963
200,0.9613044261932373
201,1.2399554252624512
202,1.392501711845398
203,1.2109909057617188
204,1.287137508392334
205,1.2993690967559814
206,1.0010709762573242
207,0.8908416032791138
208,0.7148076295852661
209,0.7255069613456726
210,0.92756587266922
211,1.0354419946670532
212,1.1097588539123535
213,1.1840566396713257
214,1.2378735542297363
215,1.3258311748504639
216,1.183326005935669
217,1.250023365020752
218,1.348104476928711
219,1.201646327972412
220,1.111441731452942
221,1.0496416091918945
222,1.185668706893921
223,1.942624568939209
224,1.6960315704345703
225,0.8995778560638428
226,0.6722162365913391
227,0.6125456094741821
228,0.6125456094741821
229,0.7498456835746765
230,0.8939898610115051
231,0.8785275220870972
232,0.8196108937263489
233,1.0030722618103027
234,1.5061386823654175
235,1.7161967754364014
236,1.6335711479187012
237,1.9125299453735352
238,1.792518973350525
239,1.8353736400604248
240,2.0043749809265137
241,1.9163192510604858
242,1.68757963180542
243,1.7174551486968994
244,1.5566171407699585
245,1.4938783645629883
246,1.5110900402069092
247,1.4338690042495728
248,1.2180676460266113
249,0.9169692993164062
250,0.7665455937385559
251,1.0577564239501953
252,0.85772705078125
253,0.669617235660553
254,0.9320012331008911
255,1.2274084091186523
256,1.357371211051941
257,1.2393676042556763
258,1.3187891244888306
259,1.4960136413574219
260,1.0080827474594116
261,0.9395920038223267
262,1.458603858947754
263,1.3733155727386475
264,1.720291018486023
265,1.711544394493103
266,1.841417908668518
267,2.297241687774658
268,2.306227922439575
269,2.9262499809265137
270,2.947587013244629
271,2.802715301513672
272,2.7843003273010254
273,2.0254554748535156
274,1.5967977046966553
275,1.4642486572265625
276,1.6719552278518677
277,1.7047491073608398
278,1.8548418283462524
279,2.350182294845581
280,2.0527420043945312
281,2.260326862335205
282,1.9916789531707764
283,1.6275618076324463
284,1.5516548156738281
285,1.2897995710372925
286,1.1176235675811768
287,0.9831512570381165
288,1.0877230167388916
289,1.3792724609375
290,0.9984060525894165
291,0.5812528729438782
292,0.43396425247192383
293,0.8765672445297241
294,0.7885457873344421
295,0.9507761001586914
296,0.8130125999450684
297,0.861168384552002
298,0.6496642231941223
299,0.8494364619255066
300,0.7224231958389282
301,0.6125456094741821
