,q_values
0,9.619298934936523
1,9.238862037658691
2,9.526313781738281
3,9.115397453308105
4,9.155029296875
5,8.999019622802734
6,8.887170791625977
7,8.738005638122559
8,8.78054428100586
9,8.752182960510254
10,8.502026557922363
11,8.309839248657227
12,8.200712203979492
13,8.082503318786621
14,7.915775775909424
15,7.673067569732666
16,7.59333610534668
17,7.484251022338867
18,7.5114827156066895
19,7.439736366271973
20,7.462425708770752
21,7.543856620788574
22,7.511537075042725
23,7.565398693084717
24,7.639203071594238
25,7.507400035858154
26,7.515448093414307
27,7.420031547546387
28,7.56355094909668
29,7.417591571807861
30,7.807927131652832
31,7.95439338684082
32,7.993367671966553
33,7.653495788574219
34,7.690384864807129
35,7.701923847198486
36,7.5824875831604
37,7.52459716796875
38,7.527940273284912
39,7.556197166442871
40,7.425356864929199
41,7.324495315551758
42,7.271440029144287
43,7.203104019165039
44,7.219944000244141
45,7.489283561706543
46,7.385689735412598
47,7.426314830780029
48,7.3259477615356445
49,7.101691246032715
50,6.940227031707764
51,6.995884418487549
52,7.19463586807251
53,7.2739973068237305
54,7.418184757232666
55,7.419625282287598
56,7.280487537384033
57,7.258327960968018
58,7.231656551361084
59,7.145979881286621
60,7.0804901123046875
61,7.1879448890686035
62,7.163907527923584
63,7.109110355377197
64,7.376532554626465
65,7.391653060913086
66,7.157562255859375
67,7.163437366485596
68,7.051623821258545
69,7.038732528686523
70,7.201005458831787
71,7.115968227386475
72,7.093242645263672
73,7.134893894195557
74,7.180499076843262
75,7.420465469360352
76,7.543700218200684
77,7.753897666931152
78,7.753960609436035
79,7.79881477355957
80,8.02419376373291
81,7.85223388671875
82,7.865575313568115
83,7.922661304473877
84,7.835500717163086
85,7.839931964874268
86,8.062644004821777
87,8.198537826538086
88,7.991070747375488
89,8.331366539001465
90,8.332009315490723
91,8.348739624023438
92,8.413985252380371
93,8.386733055114746
94,8.512873649597168
95,8.595783233642578
96,8.617549896240234
97,8.696444511413574
98,8.833407402038574
99,8.88502025604248
100,8.833155632019043
101,8.501433372497559
102,8.579380989074707
103,8.599315643310547
104,8.68908977508545
105,8.696361541748047
106,8.84442138671875
107,9.143224716186523
108,9.350874900817871
109,9.549030303955078
110,9.728702545166016
111,10.148366928100586
112,10.53463077545166
113,10.828612327575684
114,11.477585792541504
115,12.039494514465332
116,12.31214714050293
117,12.485203742980957
118,12.44334888458252
