,q_values
0,8.250617027282715
1,10.419234275817871
2,9.417012214660645
3,8.100019454956055
4,11.48984146118164
5,9.625033378601074
6,6.266805171966553
7,8.260673522949219
8,13.773628234863281
9,7.372386932373047
10,8.340140342712402
11,16.325761795043945
12,8.567862510681152
13,10.371947288513184
14,7.210139751434326
15,7.226361274719238
16,8.20849323272705
17,8.275086402893066
18,10.874177932739258
19,6.3096699714660645
20,8.134529113769531
21,8.408970832824707
22,8.16269588470459
23,7.086211204528809
24,7.060863494873047
25,12.6707124710083
26,11.02401065826416
27,9.936163902282715
28,7.9166646003723145
29,10.51366138458252
30,8.653135299682617
31,7.782528877258301
32,8.201789855957031
33,8.97230339050293
34,7.801610946655273
35,9.002211570739746
36,13.607793807983398
37,12.985660552978516
38,9.459446907043457
39,9.260923385620117
40,8.521294593811035
41,9.500277519226074
42,8.700024604797363
43,9.216564178466797
44,9.044551849365234
45,9.245237350463867
46,10.93307876586914
47,8.041854858398438
48,8.730207443237305
49,7.732300758361816
50,7.092954158782959
51,8.158856391906738
52,8.428393363952637
53,11.373946189880371
54,10.642938613891602
55,7.518914222717285
56,7.394766807556152
57,7.459366321563721
58,7.326253414154053
59,8.56843376159668
60,8.127181053161621
61,7.274704933166504
62,6.804598808288574
63,7.971235752105713
64,13.43598747253418
65,7.5622944831848145
66,7.218374252319336
67,10.249147415161133
68,8.939516067504883
69,7.938290119171143
70,7.35249662399292
71,7.558211326599121
72,8.91870403289795
73,7.280599594116211
74,8.759663581848145
75,12.951996803283691
76,7.14386510848999
77,7.385134696960449
78,7.3384108543396
79,10.97485637664795
80,9.19084358215332
81,8.519432067871094
82,7.8804826736450195
83,8.172731399536133
84,7.1187567710876465
85,7.4584574699401855
86,8.927846908569336
87,8.293283462524414
88,9.697352409362793
89,13.62932014465332
90,15.723287582397461
91,8.085482597351074
92,7.363882541656494
93,9.615241050720215
94,7.835874557495117
95,7.39858865737915
96,6.800398349761963
97,11.50632095336914
98,9.27196979522705
99,9.575058937072754
100,9.640974044799805
101,7.55735445022583
102,9.92496395111084
103,9.980609893798828
104,8.682699203491211
105,12.154500961303711
106,10.432650566101074
107,8.857879638671875
108,8.692363739013672
109,9.671051025390625
110,10.271732330322266
111,7.316616058349609
112,9.260171890258789
113,9.026239395141602
114,14.348599433898926
115,7.404099941253662
116,8.7910737991333
117,10.090843200683594
118,8.145424842834473
119,11.493928909301758
120,8.747884750366211
121,8.86314868927002
122,10.906414031982422
123,7.788794994354248
124,7.346824645996094
125,11.023576736450195
126,8.94087028503418
127,14.827866554260254
128,8.310616493225098
129,10.63687515258789
130,8.523931503295898
131,7.957877159118652
132,8.22134017944336
133,9.94470500946045
134,8.290396690368652
135,9.676729202270508
136,7.857186317443848
137,8.646875381469727
138,9.907175064086914
139,7.823817253112793
140,8.707818984985352
141,8.753100395202637
142,6.672292232513428
143,14.60319995880127
144,8.512420654296875
145,18.81117057800293
146,17.450260162353516
147,10.439692497253418
148,11.567984580993652
149,8.000895500183105
150,11.067501068115234
151,8.800094604492188
152,8.512467384338379
153,9.198269844055176
154,9.520050048828125
155,8.572810173034668
156,8.012063026428223
157,15.42265510559082
158,8.552289009094238
159,12.774954795837402
160,9.553547859191895
161,6.9842448234558105
162,7.568981170654297
163,9.979185104370117
164,11.117177963256836
165,7.821990013122559
166,13.824249267578125
167,9.976907730102539
168,10.281603813171387
169,7.916053771972656
170,8.128177642822266
171,8.474568367004395
172,11.896034240722656
173,7.475853443145752
174,9.108957290649414
175,9.471020698547363
176,8.759729385375977
177,9.986197471618652
178,7.870861053466797
179,9.178537368774414
180,8.004673957824707
181,8.50954532623291
182,8.631184577941895
183,9.540844917297363
184,9.039728164672852
185,8.265204429626465
186,7.967048645019531
187,8.600971221923828
188,6.588149070739746
189,8.73698902130127
190,7.193172931671143
191,8.01006031036377
192,7.512222766876221
193,9.573472023010254
194,7.839895248413086
195,7.4531426429748535
196,8.9381685256958
197,7.980066776275635
198,10.473299026489258
199,8.684791564941406
200,8.94050121307373
201,8.579178810119629
202,7.896846771240234
203,13.179076194763184
204,11.322785377502441
205,8.065506935119629
206,9.069976806640625
207,7.189752101898193
208,13.198492050170898
209,9.229490280151367
210,9.29112434387207
211,10.749876976013184
212,10.549421310424805
213,11.079261779785156
214,9.015897750854492
215,7.986032485961914
216,9.052072525024414
217,7.949864387512207
218,8.698385238647461
219,7.849943161010742
220,8.074284553527832
221,10.800249099731445
222,7.830839157104492
223,7.615971088409424
224,16.420846939086914
225,10.4030122756958
226,8.128397941589355
227,18.207197189331055
228,9.722169876098633
229,11.499456405639648
230,8.683100700378418
231,8.07017707824707
232,6.867222309112549
233,8.639013290405273
234,12.2317476272583
235,7.290607929229736
236,8.143430709838867
237,7.920847415924072
238,14.734044075012207
239,15.527402877807617
240,9.40995979309082
241,11.236099243164062
242,9.385798454284668
243,8.100077629089355
244,7.645034313201904
245,16.792137145996094
246,8.583688735961914
247,13.712292671203613
248,9.084458351135254
249,7.614677429199219
250,10.021998405456543
251,9.030585289001465
252,8.937349319458008
253,10.456348419189453
254,7.752140998840332
255,12.255431175231934
256,8.63794231414795
257,14.689275741577148
258,8.388982772827148
259,11.023348808288574
260,8.45173454284668
261,8.718679428100586
262,13.189753532409668
263,9.389423370361328
264,7.873289585113525
265,7.219944000244141
266,9.3091402053833
267,8.46143913269043
268,12.234216690063477
269,9.772600173950195
