,epoch,n_steps,avg_reward,avg_score,n_episodes,avg_q_value
0,1,5000,2.6666666666666665,285.0,6,0.06608439821004868
1,2,10000,11.6,880.0,5,0.18522498839348556
2,3,15000,8.5,617.5,4,0.18522498839348556
3,4,20000,11.4,910.0,5,0.34094600862264635
4,5,25000,13.2,1012.0,5,0.34094600862264635
5,6,30000,9.571428571428571,712.8571428571429,7,0.5122210509344935
6,7,35000,12.6,904.0,5,0.5122210509344935
7,8,40000,11.0,830.0,5,0.6825502298995852
8,9,45000,16.0,1212.5,4,0.6825502298995852
9,10,50000,7.25,601.25,8,0.8786867812812328
10,11,55000,11.25,880.0,4,0.8786867812812328
11,12,60000,16.5,1177.5,4,1.0486541244536638
12,13,65000,11.6,898.0,5,1.0486541244536638
13,14,70000,12.8,900.0,5,1.2250521171063185
14,15,75000,17.666666666666668,1270.0,3,1.2250521171063185
15,16,80000,11.833333333333334,916.6666666666666,6,1.3927358430743217
16,17,85000,16.666666666666668,1196.6666666666667,3,1.3927358430743217
17,18,90000,10.833333333333334,855.0,6,1.5811999231040477
18,19,95000,17.75,1205.0,4,1.5811999231040477
19,20,100000,12.0,870.0,5,1.769974809485674
20,21,105000,10.0,770.0,5,1.769974809485674
21,22,110000,14.8,1082.0,5,1.9119968999564647
22,23,115000,12.5,992.5,4,1.9119968999564647
23,24,120000,12.142857142857142,942.8571428571429,7,2.0444339221835137
24,25,125000,11.0,842.8571428571429,7,2.0444339221835137
25,26,130000,11.25,905.0,4,2.191035200691223
26,27,135000,16.75,1235.0,4,2.191035200691223
27,28,140000,11.5,838.3333333333334,6,2.3191174797296523
28,29,145000,10.0,800.0,7,2.3191174797296523
29,30,150000,13.8,1106.0,5,2.470223520243168
30,31,155000,11.0,843.3333333333334,6,2.470223520243168
31,32,160000,9.666666666666666,771.6666666666666,6,2.59882101804018
32,33,165000,11.4,888.0,5,2.59882101804018
33,34,170000,10.857142857142858,862.8571428571429,7,2.6648790731668472
34,35,175000,8.142857142857142,627.1428571428571,7,2.6648790731668472
35,36,180000,17.0,1222.5,4,2.7634551245808603
36,37,185000,10.571428571428571,818.5714285714286,7,2.7634551245808603
37,38,190000,13.2,1014.0,5,2.8359416595458984
38,39,195000,14.25,1050.0,4,2.8359416595458984
39,40,200000,13.0,1022.5,4,2.9148207358717917
40,41,205000,12.6,980.0,5,2.9148207358717917
41,42,210000,9.0,704.2857142857143,7,3.0303963390350344
42,43,215000,13.6,1108.0,5,3.0303963390350344
43,44,220000,13.4,1012.0,5,3.1223645960330964
44,45,225000,12.0,895.0,4,3.1223645960330964
45,46,230000,11.5,860.0,6,3.135629799890518
46,47,235000,9.666666666666666,746.6666666666666,6,3.135629799890518
47,48,240000,6.625,545.0,8,3.2250430973291397
48,49,245000,6.6,524.0,10,3.2250430973291397
49,50,250000,8.428571428571429,655.7142857142857,7,3.3330064136505126
50,51,255000,11.166666666666666,860.0,6,3.3330064136505126
51,52,260000,11.857142857142858,850.0,7,3.3762259217739103
52,53,265000,9.0,713.3333333333334,6,3.3762259217739103
53,54,270000,7.875,605.0,8,3.4481668899774554
54,55,275000,8.714285714285714,657.1428571428571,7,3.4481668899774554
55,56,280000,10.571428571428571,817.1428571428571,7,3.5730230449438096
56,57,285000,11.0,858.3333333333334,6,3.5730230449438096
57,58,290000,10.142857142857142,811.4285714285714,7,3.6516681750297546
58,59,295000,17.8,1300.0,5,3.6516681750297546
59,60,300000,12.2,934.0,5,3.714135757780075
60,61,305000,11.0,838.0,5,3.714135757780075
61,62,310000,13.166666666666666,945.0,6,3.7633268759965897
62,63,315000,11.166666666666666,845.0,6,3.7633268759965897
63,64,320000,14.5,1062.5,4,3.820453019785881
64,65,325000,11.0,844.0,5,3.820453019785881
65,66,330000,5.625,450.0,8,3.926153137230873
66,67,335000,7.125,572.5,8,3.926153137230873
67,68,340000,13.75,1020.0,4,3.9635878404855727
68,69,345000,12.6,1004.0,5,3.9635878404855727
69,70,355000,13.8,1000.0,5,3.9635878404855727
70,71,360000,11.285714285714286,892.8571428571429,7,3.9069573380470275
71,72,365000,9.833333333333334,736.6666666666666,6,3.9069573380470275
72,73,370000,9.5,765.0,8,3.982699487876892
73,74,375000,10.857142857142858,802.8571428571429,7,3.982699487876892
74,75,380000,9.857142857142858,772.8571428571429,7,4.032891388845444
75,76,385000,9.2,730.0,5,4.032891388845444
76,77,390000,7.833333333333333,630.0,6,4.026967211818695
77,78,395000,7.6,610.0,5,4.026967211818695
78,79,400000,4.625,393.75,8,4.117196599555015
79,80,405000,5.375,428.75,8,4.117196599555015
80,81,410000,10.2,794.0,5,4.231046766376496
81,82,415000,5.454545454545454,439.09090909090907,11,4.231046766376496
82,83,420000,9.0,735.4545454545455,11,4.242786479663849
83,84,425000,12.0,928.5714285714286,7,4.242786479663849
84,85,430000,14.4,1058.0,5,4.348653583025932
85,86,435000,13.8,1038.0,5,4.348653583025932
86,87,440000,15.6,1092.0,5,4.3939151102781295
87,88,445000,13.6,1044.0,5,4.3939151102781295
88,89,450000,15.5,1087.5,4,4.434802845025063
89,90,455000,14.666666666666666,1153.3333333333333,3,4.434802845025063
90,91,460000,7.6,592.0,5,4.472326153373718
91,92,465000,4.5,390.0,8,4.472326153373718
92,93,470000,12.0,882.0,5,4.530457266330719
93,94,475000,15.0,1057.5,4,4.530457266330719
94,95,480000,7.875,631.25,8,4.590429082274437
95,96,485000,5.625,477.5,8,4.590429082274437
96,97,490000,9.625,742.5,8,4.650658386230469
97,98,495000,9.857142857142858,775.7142857142857,7,4.650658386230469
98,99,500000,7.444444444444445,601.1111111111111,9,4.718394164085388
99,100,505000,9.333333333333334,713.3333333333334,6,4.718394164085388
100,101,510000,11.0,861.4285714285714,7,4.788719933724403
101,102,515000,12.0,908.0,5,4.788719933724403
102,103,520000,5.571428571428571,462.85714285714283,7,4.8566604591846465
103,104,525000,6.5,518.3333333333334,6,4.8566604591846465
104,105,530000,8.11111111111111,642.2222222222222,9,4.913598298978806
105,106,535000,8.444444444444445,638.8888888888889,9,4.913598298978806
106,107,540000,10.5,821.6666666666666,6,4.967718597126007
107,108,545000,8.0,671.25,8,4.967718597126007
108,109,550000,9.333333333333334,724.4444444444445,9,5.032831244540215
109,110,555000,15.833333333333334,1165.0,6,5.032831244540215
110,111,560000,11.0,822.0,5,5.069274431753159
111,112,565000,8.75,687.5,8,5.069274431753159
112,113,570000,15.8,1154.0,5,5.0893264116764065
113,114,575000,10.714285714285714,850.0,7,5.0893264116764065
114,115,580000,10.0,787.5,4,5.175089779758453
115,116,585000,8.6,646.0,5,5.175089779758453
116,117,590000,9.25,761.25,8,5.193772181677819
117,118,595000,10.833333333333334,855.0,6,5.193772181677819
118,119,600000,11.0,791.4285714285714,7,5.205140218925476
119,120,605000,13.0,1002.5,4,5.205140218925476
120,121,610000,11.5,930.0,4,5.228973532009125
121,122,615000,14.4,1112.0,5,5.228973532009125
122,123,620000,11.571428571428571,848.5714285714286,7,5.291231363105774
123,124,625000,11.428571428571429,894.2857142857143,7,5.291231363105774
124,125,630000,9.666666666666666,743.3333333333334,6,5.356150102901458
125,126,635000,8.571428571428571,644.2857142857143,7,5.356150102901458
126,127,640000,6.285714285714286,491.42857142857144,7,5.390131475782394
127,128,645000,7.142857142857143,614.2857142857143,7,5.390131475782394
128,129,650000,5.375,480.0,8,5.383150626444817
129,130,655000,5.666666666666667,470.0,6,5.383150626444817
130,131,660000,10.5,810.0,6,5.448043195676804
131,132,665000,9.0,701.4285714285714,7,5.448043195676804
132,133,670000,11.375,878.75,8,5.478288494968415
133,134,675000,10.571428571428571,818.5714285714286,7,5.478288494968415
134,135,680000,8.75,665.0,8,5.554483751344681
135,136,685000,8.666666666666666,683.3333333333334,9,5.554483751344681
136,137,690000,6.0,460.0,7,5.535828961086273
137,138,695000,9.5,723.3333333333334,6,5.535828961086273
138,139,700000,8.444444444444445,644.4444444444445,9,5.602937817525864
139,140,705000,13.5,1058.3333333333333,6,5.602937817525864
140,141,710000,10.142857142857142,834.2857142857143,7,5.58880013513565
141,142,715000,9.2,704.0,5,5.58880013513565
142,143,720000,17.666666666666668,1333.3333333333333,3,5.641226888298989
143,144,725000,10.333333333333334,855.0,6,5.641226888298989
144,145,730000,11.571428571428571,832.8571428571429,7,5.660931198167801
145,146,735000,8.714285714285714,671.4285714285714,7,5.660931198167801
146,147,740000,8.285714285714286,655.7142857142857,7,5.707301469182968
147,148,745000,9.0,675.0,6,5.707301469182968
148,149,750000,2.8,254.0,10,5.796071185731888
149,150,755000,5.0,398.8888888888889,9,5.796071185731888
150,151,760000,12.4,928.0,5,5.8337030645370485
151,152,765000,10.333333333333334,808.3333333333334,6,5.8337030645370485
152,153,770000,10.833333333333334,835.0,6,5.94308578748703
153,154,775000,10.5,777.5,4,5.94308578748703
154,155,780000,6.75,545.8333333333334,12,5.995621647834778
155,156,785000,6.8,533.0,10,5.995621647834778
156,157,790000,11.666666666666666,943.3333333333334,6,6.052252158641815
157,158,795000,12.0,944.0,5,6.052252158641815
158,159,800000,5.333333333333333,448.8888888888889,9,6.121870650720596
159,160,805000,6.571428571428571,512.8571428571429,7,6.121870650720596
160,161,810000,8.0,605.0,6,6.224606995344162
161,162,815000,4.8,424.0,10,6.224606995344162
162,163,820000,7.166666666666667,560.0,6,6.305397252702713
163,164,825000,4.25,401.25,8,6.305397252702713
164,165,830000,6.625,518.75,8,6.317214106416702
165,166,835000,8.0,643.3333333333334,6,6.317214106416702
166,167,840000,8.125,627.5,8,6.473007667541504
167,168,845000,6.714285714285714,515.7142857142857,7,6.473007667541504
168,169,850000,7.166666666666667,563.3333333333334,6,6.567726356220246
169,170,855000,4.285714285714286,341.42857142857144,7,6.567726356220246
170,171,860000,9.666666666666666,743.3333333333334,6,6.626453195333481
171,172,865000,11.0,863.3333333333334,3,6.626453195333481
172,173,870000,4.285714285714286,360.0,7,6.699866197252273
173,174,875000,3.75,338.75,8,6.699866197252273
174,175,880000,7.666666666666667,583.3333333333334,9,6.712612311458588
175,176,885000,7.666666666666667,631.6666666666666,6,6.712612311458588
176,177,890000,5.285714285714286,427.14285714285717,7,6.684739335918427
177,178,895000,7.0,551.6666666666666,6,6.684739335918427
178,179,900000,7.285714285714286,570.0,7,6.728096971654892
179,180,905000,8.75,712.5,8,6.728096971654892
180,181,910000,10.6,820.0,5,6.733939179086685
181,182,915000,11.2,870.0,5,6.733939179086685
182,183,920000,8.333333333333334,638.3333333333334,6,6.811048583316803
183,184,925000,6.833333333333333,526.6666666666666,6,6.811048583316803
184,185,930000,5.857142857142857,490.0,7,6.927233508491516
185,186,935000,15.333333333333334,1090.0,3,6.927233508491516
186,187,940000,3.3333333333333335,313.3333333333333,6,7.035699928760528
187,188,945000,2.2857142857142856,271.42857142857144,7,7.035699928760528
188,189,950000,6.222222222222222,513.3333333333334,9,7.1122303952693935
189,190,955000,4.5,400.0,10,7.1122303952693935
190,191,960000,5.333333333333333,423.3333333333333,6,7.134357823944092
191,192,965000,7.166666666666667,590.0,6,7.134357823944092
192,193,970000,9.0,692.5,8,7.212185170936585
193,194,975000,8.428571428571429,662.8571428571429,7,7.212185170936585
194,195,980000,7.571428571428571,598.5714285714286,7,7.210495010375976
195,196,985000,6.0,490.0,7,7.210495010375976
196,197,990000,7.0,562.5,8,7.2123742846012115
197,198,995000,7.666666666666667,626.6666666666666,6,7.2123742846012115
198,199,1000000,3.2857142857142856,317.14285714285717,7,7.486070303106308
199,200,1005000,5.571428571428571,478.57142857142856,7,7.486070303106308
