,q_values
0,1.7937722206115723
1,1.7937722206115723
2,1.6901891231536865
3,1.7156031131744385
4,1.8670631647109985
5,1.9083547592163086
6,2.016927719116211
7,2.007091999053955
8,1.9587727785110474
9,2.047750473022461
10,2.197150230407715
11,2.251953601837158
12,2.143310070037842
13,2.4031624794006348
14,2.3594765663146973
15,2.321603775024414
16,1.9239364862442017
17,1.8505778312683105
18,1.8885992765426636
19,1.1702985763549805
20,1.287880778312683
21,1.4358066320419312
22,1.4217718839645386
23,1.147979974746704
24,1.2412099838256836
25,0.933664858341217
26,1.186485767364502
27,1.6588906049728394
28,1.7203524112701416
29,1.8903454542160034
30,2.0221824645996094
31,2.022590160369873
32,2.058328151702881
33,2.0715129375457764
34,2.089810371398926
35,2.2757647037506104
36,2.3681082725524902
37,2.3371760845184326
38,2.472517490386963
39,2.290984630584717
40,2.262951135635376
41,2.1681594848632812
42,2.1179795265197754
43,1.90714430809021
44,1.252016544342041
45,1.2337665557861328
46,1.1857953071594238
47,1.1950129270553589
48,1.1529792547225952
49,1.205172061920166
50,1.0134632587432861
51,0.984067440032959
52,1.569507122039795
53,1.5580942630767822
54,1.475213646888733
55,1.7090214490890503
56,1.8414452075958252
57,1.9415422677993774
58,1.9733127355575562
59,2.06003475189209
60,2.0248734951019287
61,2.0887646675109863
62,2.303302764892578
63,2.367438793182373
64,2.2800140380859375
65,2.4080963134765625
66,2.227656364440918
67,2.2589612007141113
68,1.7620640993118286
69,1.316348910331726
70,1.454063892364502
71,1.3528358936309814
72,1.3601653575897217
73,1.1424005031585693
74,1.1075232028961182
75,1.1362593173980713
76,1.327890157699585
77,1.2178078889846802
78,1.1159884929656982
79,1.6158456802368164
80,1.6495078802108765
81,1.7143398523330688
82,1.8618055582046509
83,1.9423807859420776
84,1.8047056198120117
85,1.7220485210418701
86,1.6535669565200806
87,1.5966593027114868
88,1.675360918045044
89,1.6641883850097656
90,1.4948316812515259
91,1.4577971696853638
92,1.497610092163086
93,1.4745233058929443
94,1.374158501625061
95,1.4133273363113403
96,1.1769132614135742
97,1.0748261213302612
98,1.1466701030731201
99,1.0983762741088867
100,1.0450552701950073
101,1.1365352869033813
102,1.0896966457366943
103,0.9281062483787537
104,1.063551425933838
105,1.351641297340393
106,1.3593395948410034
107,1.499253749847412
108,1.5506912469863892
109,1.5147979259490967
110,1.6285381317138672
111,1.768547534942627
112,1.8000669479370117
113,2.108847141265869
114,1.9827699661254883
115,2.318047046661377
116,2.148266315460205
117,2.069148540496826
118,2.1575193405151367
119,2.2838363647460938
120,2.7328906059265137
121,2.582742214202881
122,2.631063938140869
123,2.677095890045166
124,2.592874526977539
125,2.3531062602996826
126,2.383432388305664
127,2.4707984924316406
128,2.426241636276245
129,2.2182981967926025
130,2.3448357582092285
131,2.40285587310791
132,2.452423095703125
133,2.333055019378662
134,2.2994489669799805
135,2.3749146461486816
136,2.522984504699707
137,1.3977420330047607
138,1.486925721168518
139,1.5035637617111206
140,1.5070828199386597
141,1.5540800094604492
142,1.7010552883148193
143,1.796959400177002
144,1.8321168422698975
145,1.9454913139343262
146,2.491098403930664
147,2.53153920173645
148,2.9731287956237793
149,3.142368793487549
150,3.5294418334960938
151,2.715902328491211
152,3.576969623565674
153,1.7160546779632568
154,2.424128532409668
155,0.9078917503356934
156,1.322075366973877
157,1.038830041885376
158,1.8240501880645752
159,1.4104329347610474
160,1.4474666118621826
161,1.4881190061569214
162,1.4865968227386475
163,1.5113049745559692
164,1.5791808366775513
165,1.785475492477417
166,1.7886285781860352
167,1.892066240310669
168,1.7371554374694824
169,1.973206877708435
170,1.9495004415512085
171,1.9703093767166138
172,1.6730517148971558
173,1.3905761241912842
174,1.3336725234985352
175,1.3924686908721924
176,1.2799174785614014
177,1.315629243850708
178,1.216813087463379
179,1.1462221145629883
180,1.1445235013961792
181,1.1381375789642334
182,1.5116143226623535
183,1.550745964050293
184,1.464325189590454
185,1.4197540283203125
186,1.4441841840744019
187,1.5560243129730225
188,1.5545539855957031
189,1.5436761379241943
190,1.59554123878479
191,1.7594507932662964
192,1.7018086910247803
193,1.8959190845489502
194,1.5918149948120117
195,1.6809358596801758
196,1.459207534790039
197,1.701858639717102
198,1.4474902153015137
199,1.503643274307251
200,1.2986961603164673
201,1.1339021921157837
202,1.10137140750885
203,1.136338472366333
204,1.3598439693450928
205,1.30564284324646
206,0.9997666478157043
207,1.0285955667495728
208,0.787434995174408
209,1.4046106338500977
210,1.5000873804092407
211,1.5786728858947754
212,1.5745429992675781
213,1.537856936454773
214,1.6214802265167236
215,1.6195592880249023
216,1.688657522201538
217,1.751007318496704
218,1.771883249282837
219,1.8819622993469238
220,1.8674801588058472
221,1.595815658569336
222,2.283925771713257
223,1.9917606115341187
224,1.7309911251068115
225,1.8557487726211548
226,1.381002426147461
227,1.4326162338256836
228,1.1102511882781982
229,1.2541930675506592
230,1.0502759218215942
231,0.9282435774803162
232,0.8631677031517029
233,1.561776041984558
234,1.5560510158538818
235,1.5204757452011108
236,1.562769889831543
237,1.6130601167678833
238,1.5962915420532227
239,1.6384282112121582
240,1.8021018505096436
241,1.775970697402954
242,1.8868905305862427
243,1.9635545015335083
244,2.064972400665283
245,2.0943808555603027
246,1.9481619596481323
247,2.264106512069702
248,1.5258558988571167
249,1.3022984266281128
250,1.0887969732284546
251,1.0760822296142578
252,1.2914700508117676
253,1.0956588983535767
254,1.1315429210662842
255,0.7649013996124268
256,1.0736873149871826
257,0.9193575382232666
258,1.4898273944854736
259,1.436422348022461
260,1.786820411682129
261,1.7743021249771118
262,1.7743021249771118
263,1.7743021249771118
264,1.7743021249771118
265,1.4430994987487793
266,1.5699348449707031
267,1.6170058250427246
268,1.9674077033996582
269,1.9045525789260864
270,2.026583433151245
271,2.096923351287842
272,2.3589658737182617
273,2.4592742919921875
274,2.3342032432556152
275,2.627777099609375
276,2.3441872596740723
277,2.0358211994171143
278,1.563679575920105
279,1.371328592300415
280,1.1156797409057617
281,1.1063401699066162
282,1.7018321752548218
283,1.7830580472946167
284,1.3872722387313843
285,1.622676968574524
286,2.3385121822357178
287,1.3920342922210693
288,1.9326958656311035
289,1.2876646518707275
290,1.6515254974365234
291,1.791707992553711
292,1.8917324542999268
293,1.9403432607650757
294,1.9952176809310913
295,1.9987633228302002
296,1.9426151514053345
297,1.9419840574264526
298,2.0202412605285645
299,1.70224928855896
300,1.542033314704895
301,1.2777873277664185
302,1.0985562801361084
303,1.1437653303146362
304,1.1581445932388306
305,0.9942221641540527
306,0.9100548028945923
307,0.9807809591293335
308,0.9251978993415833
309,0.8753964900970459
310,0.8536376953125
311,0.8784184455871582
