,epoch,n_steps,avg_reward,avg_score,n_episodes,avg_q_value
56,57,285000,0.5,0.5,2,0.15183316310048103
57,58,290000,0.0,0.0,3,0.1554154888510704
58,59,295000,0.0,0.0,3,0.1554154888510704
59,60,300000,1.1666666666666667,1.1666666666666667,24,0.16086576411128045
60,61,305000,1.2608695652173914,1.2608695652173914,23,0.16086576411128045
61,62,310000,1.0357142857142858,1.0357142857142858,28,0.1636989859044552
62,63,315000,0.7586206896551724,0.7586206896551724,29,0.1636989859044552
63,64,320000,1.0,1.0,6,0.166692767611146
64,65,325000,1.4,1.4,5,0.166692767611146
65,66,330000,1.0,1.0,2,0.16993563097715378
66,67,335000,3.0,6.0,1,0.16993563097715378
67,68,340000,1.0,1.0,2,0.173235253867507
68,69,345000,3.5,6.5,2,0.173235253867507
69,70,350000,2.5,4.0,2,0.1800359799951315
70,71,355000,3.6666666666666665,8.666666666666666,3,0.1800359799951315
71,72,360000,2.5,4.0,4,0.1856188330948353
72,73,365000,3.0,6.0,1,0.1856188330948353
73,74,370000,2.0,2.0,1,0.19003478282690048
74,75,375000,3.0,6.0,2,0.19003478282690048
75,76,380000,2.6666666666666665,4.666666666666667,3,0.19408369812369347
76,77,385000,3.0,6.0,3,0.19408369812369347
77,78,390000,3.0,6.0,1,0.19771452835202216
78,79,395000,2.0,2.0,2,0.19771452835202216
79,80,400000,3.0,6.0,2,0.20201147174537182
80,81,405000,3.0,6.0,1,0.20201147174537182
81,82,410000,2.5,4.0,2,0.207968009313941
82,83,415000,4.0,10.0,1,0.207968009313941
83,84,420000,2.3333333333333335,3.3333333333333335,3,0.21273793173730374
84,85,425000,2.5,4.0,4,0.21273793173730374
85,86,430000,3.0,6.0,1,0.21723424888253212
86,87,435000,4.0,10.0,2,0.21723424888253212
87,88,440000,2.0,2.0,2,0.22203298915922642
88,89,445000,2.0,2.0,3,0.22203298915922642
89,90,450000,1.6666666666666667,1.6666666666666667,3,0.2241495351433754
90,91,455000,1.3333333333333333,1.3333333333333333,3,0.2241495351433754
91,92,460000,2.5,2.5,2,0.2360244361668825
92,93,465000,2.0,2.0,1,0.2360244361668825
93,94,470000,1.0,1.0,1,0.23907850623726845
94,95,475000,1.5,1.5,2,0.23907850623726845
95,96,480000,1.5,1.5,2,0.24479005444943905
96,97,485000,2.0,2.0,1,0.24479005444943905
97,98,490000,3.0,6.0,1,0.25335153213143347
98,99,495000,2.0,3.5,2,0.25335153213143347
99,100,500000,1.5,1.5,2,0.25626576974391935
100,101,505000,1.25,1.25,4,0.25626576974391935
101,102,510000,0.0,0.0,2,0.261854322296381
102,103,515000,1.0,1.0,2,0.261854322296381
103,104,520000,1.3333333333333333,1.3333333333333333,3,0.26728750655055045
104,105,525000,1.6,1.6,5,0.26728750655055045
105,106,530000,2.5,4.0,2,0.27917074721455576
106,107,535000,2.0,2.0,2,0.27917074721455576
107,108,540000,2.0,2.0,7,0.27932824704647063
108,109,545000,1.6666666666666667,1.6666666666666667,6,0.27932824704647063
109,110,550000,1.0,1.0,1,0.28411799617409705
110,111,555000,2.0,2.0,2,0.28411799617409705
111,112,560000,2.0,2.0,8,0.2895624675929546
112,113,565000,2.2,2.2,5,0.2895624675929546
113,114,570000,2.0,2.0,2,0.29906338306069374
114,115,575000,2.0,2.0,2,0.29906338306069374
115,116,580000,1.5,1.5,2,0.30184886336922645
116,117,585000,2.0,2.0,2,0.30184886336922645
117,118,590000,2.0,2.0,2,0.3108343542277813
118,119,595000,1.0,1.0,1,0.3108343542277813
119,120,600000,2.5,2.5,2,0.3214569902777672
120,121,605000,2.0,2.0,1,0.3214569902777672
121,122,610000,4.0,4.0,1,0.3283876236140728
122,123,615000,3.0,3.0,1,0.3283876236140728
123,124,620000,2.0,2.0,1,0.3314998409986496
124,125,625000,1.6666666666666667,1.6666666666666667,3,0.3314998409986496
125,126,630000,1.0,1.0,2,0.3374483681380749
126,127,635000,1.5,1.5,2,0.3374483681380749
127,128,640000,2.0,2.0,3,0.34493187937736514
128,129,645000,2.0,2.0,3,0.34493187937736514
129,130,650000,1.8888888888888888,1.8888888888888888,9,0.3503828420639038
130,131,655000,2.0,2.0,8,0.3503828420639038
131,132,660000,2.5,2.5,2,0.355997254884243
132,133,665000,2.0,2.0,2,0.355997254884243
133,134,670000,1.0,1.0,1,0.3673232679545879
134,135,675000,3.0,3.0,1,0.3673232679545879
135,136,680000,2.111111111111111,2.111111111111111,9,0.3721125106215477
136,137,685000,1.5,1.5,4,0.3721125106215477
137,138,690000,2.0,2.0,4,0.3817430475234985
138,139,695000,2.6666666666666665,2.6666666666666665,3,0.3817430475234985
139,140,700000,2.5,2.5,2,0.39649010706543925
140,141,705000,2.6,2.6,5,0.39649010706543925
141,142,710000,1.25,1.25,4,0.3945513275742531
142,143,715000,1.25,1.25,4,0.3945513275742531
143,144,720000,1.3333333333333333,1.3333333333333333,3,0.4057299392521381
144,145,725000,1.6666666666666667,1.6666666666666667,3,0.4057299392521381
145,146,730000,1.0,1.0,2,0.426748081189394
146,147,735000,2.3333333333333335,2.3333333333333335,3,0.426748081189394
147,148,740000,3.0,3.0,2,0.444432625079155
148,149,745000,2.5,2.5,2,0.444432625079155
149,150,750000,3.0,3.0,1,0.44681288614273074
150,151,755000,3.0,3.0,1,0.44681288614273074
151,152,760000,1.0,1.0,1,0.45635915631055834
152,153,765000,1.3333333333333333,1.3333333333333333,3,0.45635915631055834
153,154,770000,1.0,1.0,11,0.46657428339123724
154,155,775000,1.4,1.4,5,0.46657428339123724
155,156,780000,1.4285714285714286,1.4285714285714286,7,0.47423081229925157
156,157,785000,1.3333333333333333,1.3333333333333333,3,0.47423081229925157
157,158,790000,1.5,1.5,2,0.4931079951345921
158,159,795000,1.6666666666666667,1.6666666666666667,3,0.4931079951345921
159,160,800000,1.0,1.0,2,0.5083431757807731
160,161,805000,2.0,2.0,2,0.5083431757807731
161,162,810000,1.9090909090909092,1.9090909090909092,11,0.5109241682171821
162,163,815000,1.8333333333333333,1.8333333333333333,12,0.5109241682171821
163,164,820000,2.0,2.0,2,0.5294089241087436
164,165,825000,1.5,1.5,2,0.5294089241087436
165,166,830000,2.0,2.0,6,0.5352849895179271
166,167,835000,2.0,2.0,6,0.5352849895179271
167,168,840000,1.6666666666666667,1.6666666666666667,3,0.5398303399026394
168,169,845000,1.3333333333333333,1.3333333333333333,3,0.5398303399026394
169,170,850000,2.0,2.0,1,0.5591528479039669
170,171,855000,2.0,2.0,2,0.5591528479039669
171,172,860000,2.0,2.0,1,0.5693421184301376
172,173,865000,2.0,2.0,2,0.5693421184301376
173,174,870000,1.875,1.875,8,0.5723138103246689
174,175,875000,1.875,1.875,8,0.5723138103246689
175,176,880000,4.0,4.0,1,0.5992196035921573
176,177,885000,2.0,2.0,2,0.5992196035921573
177,178,890000,0.4722222222222222,0.4722222222222222,36,0.59693095266819
178,179,895000,0.68,0.68,25,0.59693095266819
179,180,900000,0.0,0.0,2,0.5910982238590717
180,181,905000,1.0,1.0,2,0.5910982238590717
181,182,910000,0.2777777777777778,0.2777777777777778,36,0.5971157934427261
182,183,915000,0.3870967741935484,0.3870967741935484,31,0.5971157934427261
183,184,920000,0.35294117647058826,0.35294117647058826,17,0.5970708784043789
184,185,925000,0.21052631578947367,0.21052631578947367,19,0.5970708784043789
185,186,930000,1.0,1.0,1,0.6123492256641387
186,187,935000,1.5,1.5,2,0.6123492256641387
187,188,940000,0.0,0.0,2,0.6176521007299424
188,189,945000,0.0,0.0,2,0.6176521007299424
189,190,950000,2.0,2.0,3,0.6008377541780472
190,191,955000,1.6666666666666667,1.6666666666666667,6,0.6008377541780472
