,q_values
0,15.827678680419922
1,15.470253944396973
2,15.938556671142578
3,16.261707305908203
4,16.267650604248047
5,16.88469123840332
6,16.895919799804688
7,17.003915786743164
8,16.862899780273438
9,16.882549285888672
10,17.082534790039062
11,16.61646842956543
12,16.705942153930664
13,16.55095863342285
14,16.669204711914062
15,16.931772232055664
16,17.422348022460938
17,17.239248275756836
18,16.86699867248535
19,16.686412811279297
20,16.914125442504883
21,16.131994247436523
22,16.007692337036133
23,15.963730812072754
24,15.823234558105469
25,16.089357376098633
26,16.105836868286133
27,15.673911094665527
28,15.909320831298828
29,15.81258487701416
30,15.935611724853516
31,15.477231979370117
32,15.341710090637207
33,15.908195495605469
34,16.777565002441406
35,16.988006591796875
36,18.08731460571289
37,19.007854461669922
38,18.989749908447266
39,18.633865356445312
40,19.088855743408203
41,18.96894073486328
42,18.199792861938477
43,18.323591232299805
44,16.893850326538086
45,16.799062728881836
46,16.348770141601562
47,16.168655395507812
48,16.33278465270996
49,16.678037643432617
50,17.431175231933594
51,17.98387908935547
52,17.97128677368164
53,18.647319793701172
54,18.405921936035156
55,17.814746856689453
56,16.874910354614258
57,16.870136260986328
58,17.07411003112793
59,18.0240478515625
60,18.19778823852539
61,17.302278518676758
62,17.99405288696289
63,18.91643524169922
64,19.241127014160156
65,19.547115325927734
66,19.919429779052734
67,19.830398559570312
68,19.28781509399414
69,17.464637756347656
70,17.530302047729492
71,17.841249465942383
72,18.464569091796875
73,19.107662200927734
74,19.775625228881836
75,20.412796020507812
76,19.91111183166504
77,18.9974365234375
78,18.716543197631836
79,18.99890899658203
80,18.41388702392578
81,18.50108528137207
82,18.32184410095215
83,18.298702239990234
84,18.324337005615234
85,19.038801193237305
86,18.10771369934082
87,18.187545776367188
88,18.266592025756836
89,19.39210319519043
90,19.60809898376465
91,19.682178497314453
92,19.71864128112793
93,19.901222229003906
94,20.290998458862305
95,20.4399356842041
96,20.919666290283203
97,21.392953872680664
98,19.178009033203125
99,21.29662322998047
100,21.834060668945312
101,22.260400772094727
102,22.628154754638672
103,23.16997718811035
104,22.844873428344727
105,21.62913703918457
106,22.791122436523438
107,21.98740577697754
108,21.382179260253906
109,18.73318099975586
110,16.66431427001953
111,16.74604606628418
112,17.905929565429688
113,17.4788818359375
114,17.531831741333008
115,17.019821166992188
116,17.66305160522461
117,16.87103843688965
118,17.4237117767334
119,17.60470962524414
120,18.068450927734375
121,18.32082176208496
122,14.785025596618652
123,14.789076805114746
124,15.052227973937988
125,15.417243957519531
126,14.670609474182129
127,13.596285820007324
128,12.824316024780273
129,12.978153228759766
130,13.069059371948242
131,13.113130569458008
132,13.069854736328125
133,12.63298225402832
134,12.634021759033203
135,12.569266319274902
136,12.626564979553223
137,12.960928916931152
138,13.363648414611816
139,13.71716022491455
140,13.5037260055542
141,13.321737289428711
142,12.899270057678223
143,12.457721710205078
144,12.406509399414062
145,12.493392944335938
146,12.689332962036133
147,13.003888130187988
148,13.468643188476562
149,13.432408332824707
150,13.183701515197754
151,12.711411476135254
152,12.649984359741211
153,12.471514701843262
154,12.38377571105957
155,12.98358154296875
156,12.886475563049316
157,12.875323295593262
158,13.121753692626953
159,12.673184394836426
160,12.425806999206543
161,11.931535720825195
162,11.951179504394531
163,11.852985382080078
164,11.753293991088867
165,11.832794189453125
166,12.062749862670898
167,12.006478309631348
168,12.028910636901855
169,12.18986701965332
170,12.275854110717773
171,11.907289505004883
172,11.619437217712402
173,12.324681282043457
174,12.235977172851562
175,11.966195106506348
176,12.024581909179688
177,12.053587913513184
178,11.922477722167969
179,12.135756492614746
180,12.079243659973145
181,12.522537231445312
182,12.445272445678711
183,12.49257755279541
184,12.696650505065918
185,12.47359848022461
186,12.506300926208496
187,12.395736694335938
188,12.3974027633667
189,12.503315925598145
190,12.346467018127441
