,q_values
100,12.672645568847656
101,15.411173820495605
102,13.028358459472656
103,10.570317268371582
104,14.287413597106934
105,12.929664611816406
106,13.396376609802246
107,13.4409818649292
108,19.04747772216797
109,15.005289077758789
110,12.156160354614258
111,11.724700927734375
112,10.6139497756958
113,17.253326416015625
114,15.12934398651123
115,13.004515647888184
116,12.614645957946777
117,11.724844932556152
118,17.129629135131836
119,13.349597930908203
120,13.03591537475586
121,15.809097290039062
122,15.77349853515625
123,11.899060249328613
124,10.613750457763672
125,11.833189010620117
126,15.415539741516113
127,17.013023376464844
128,16.375900268554688
129,12.637948989868164
130,12.271889686584473
131,13.92509651184082
132,19.221525192260742
133,12.443098068237305
134,16.977447509765625
135,14.43366527557373
136,9.51572036743164
137,13.420844078063965
138,9.69355583190918
139,13.56198501586914
140,15.1527099609375
141,10.125666618347168
142,11.68659782409668
143,13.015735626220703
144,14.497076988220215
145,15.422372817993164
146,14.470499038696289
147,12.877598762512207
148,10.92233657836914
149,15.859112739562988
150,10.481425285339355
151,11.681337356567383
152,11.292665481567383
153,14.69776439666748
154,13.16617488861084
155,11.713199615478516
156,13.27285099029541
157,18.155269622802734
158,10.978745460510254
159,10.94582748413086
160,14.690956115722656
161,13.897087097167969
162,15.036849975585938
163,12.626487731933594
164,17.926794052124023
165,13.855400085449219
166,16.39266014099121
167,11.492074966430664
168,14.005351066589355
169,9.627985954284668
170,14.109452247619629
171,18.73499298095703
172,12.536540031433105
173,11.849721908569336
174,12.08333969116211
175,10.82780647277832
176,16.591764450073242
177,13.152997016906738
178,12.616246223449707
179,13.053338050842285
180,10.81385612487793
181,14.83702564239502
182,10.627086639404297
183,16.025253295898438
184,16.277740478515625
185,12.363967895507812
186,13.312761306762695
187,10.901365280151367
188,15.827678680419922
189,12.059372901916504
190,11.782362937927246
191,14.791439056396484
192,20.61365509033203
193,17.27003288269043
194,16.061981201171875
195,12.033409118652344
196,12.724637031555176
197,10.559597969055176
198,12.153668403625488
199,14.999723434448242
200,13.014888763427734
201,12.925561904907227
202,11.268340110778809
203,18.24971580505371
204,19.062625885009766
205,11.39204216003418
206,14.823307991027832
207,12.769256591796875
208,15.959864616394043
209,11.704501152038574
210,18.539756774902344
211,15.940845489501953
212,12.499672889709473
213,12.538065910339355
214,13.688961029052734
215,12.012166976928711
216,16.91501808166504
217,13.530213356018066
218,13.188666343688965
219,12.85726547241211
220,18.237201690673828
221,16.053239822387695
222,11.233869552612305
223,12.001070022583008
224,11.985574722290039
225,12.25133991241455
226,11.388731002807617
227,11.654304504394531
228,12.90338134765625
229,15.719709396362305
230,14.964200019836426
231,12.588979721069336
232,12.580763816833496
233,16.42180633544922
234,11.337747573852539
235,11.182680130004883
236,13.094882011413574
237,11.61740493774414
238,12.933220863342285
239,12.225154876708984
240,13.902286529541016
241,15.199914932250977
242,13.641693115234375
243,15.968108177185059
244,12.77202033996582
245,14.999717712402344
246,15.655787467956543
247,9.756415367126465
248,15.830133438110352
249,15.004432678222656
250,14.998608589172363
251,12.32380485534668
252,13.927574157714844
253,12.536438941955566
254,10.7820463180542
255,15.361227989196777
256,15.136487007141113
257,11.367938041687012
258,14.494111061096191
259,15.050824165344238
260,15.672621726989746
261,18.721420288085938
262,14.013355255126953
263,12.068510055541992
264,15.673307418823242
265,14.17286491394043
266,11.343962669372559
267,12.451306343078613
268,11.148488998413086
269,14.007868766784668
270,12.149426460266113
271,16.319835662841797
272,11.437800407409668
273,14.634689331054688
274,12.889891624450684
275,12.406988143920898
276,12.631705284118652
277,15.809649467468262
278,8.140317916870117
279,14.790924072265625
280,10.958610534667969
281,11.588589668273926
282,13.91169261932373
283,12.84831428527832
284,15.904125213623047
285,16.508108139038086
286,11.637739181518555
287,17.009319305419922
288,10.190436363220215
289,14.304451942443848
290,11.022632598876953
291,13.991536140441895
292,13.164597511291504
293,13.424081802368164
294,13.899855613708496
295,11.63892936706543
296,15.572896957397461
297,13.37126350402832
298,11.897703170776367
299,16.685117721557617
300,13.51207160949707
301,9.586543083190918
302,12.221318244934082
303,17.120691299438477
304,10.894920349121094
305,11.904465675354004
306,16.635709762573242
307,13.716580390930176
308,13.529183387756348
309,19.200719833374023
310,12.495625495910645
311,13.732596397399902
312,12.022331237792969
313,15.753368377685547
314,9.98658561706543
315,12.853897094726562
316,13.764810562133789
317,14.853404998779297
318,11.659906387329102
319,13.093260765075684
320,19.828962326049805
321,15.852676391601562
322,18.064943313598633
323,12.895670890808105
324,15.604339599609375
325,11.009671211242676
326,9.555717468261719
327,11.993610382080078
328,11.705275535583496
329,15.59537124633789
330,11.161517143249512
331,8.01304817199707
332,11.232681274414062
333,11.480328559875488
334,9.726580619812012
335,16.995357513427734
336,13.612137794494629
337,11.67777156829834
338,10.748272895812988
339,11.725258827209473
340,10.401559829711914
341,18.678939819335938
342,12.5512056350708
343,12.123812675476074
344,11.192225456237793
345,11.481560707092285
346,11.149097442626953
347,16.09752655029297
348,11.984295845031738
